T_above,T_under
11,11
11.7,11.5
12,12
12.5,12.4
13,12.8
13.4,13.5
14,13.9
14.5,14.5
15,14.9
15.5,15.4
16,16
16.5,16.4
17,16.9
17.5,17.4
18,17.9
18.6,18.6
19,18.9
19.5,19.4
44.6,45
43.6,43.4
42.9,43
42.2,42.5
41.6,41.2
40.4,40
39.5,39.4
39,38.9
38.6,38.5
38.2,38
37.5,37.5
37,36.9
36.4,36.4
36,36
35.5,35.3
34.9,35
34.6,34.4
34.1,34
33.5,33.5
33.1,33
32.4,32.5
32,32
31.5,31.5
31,31
30.5,30.6
29.9,30.1
29.5,29.5
29,29
28.4,28.5
27.9,28.1
27.4,27.6
27,27
26.5,26.5
26,26.1
25.5,25.6
25,25
24.5,24.5
24.1,24
23.5,23.5
23,23.1
22.5,22.6
22,22
21.5,21.5
20.9,21
